,链接,图片,书名,评分,热评,价格,出版日期,出版社,作者
52,https://book.douban.com/subject/20440644/,https://img1.doubanio.com/view/subject/s/public/s24611679.jpg,"文学回忆录

                
                   : 1989—1994",9.1,木心留给世界的礼物, 98.00元, 2013-1-10 , 广西师范大学出版社 ,木心 口述 
53,https://book.douban.com/subject/1255624/,https://img9.doubanio.com/view/subject/s/public/s26018916.jpg,神雕侠侣,8.9,至情至性，情大于武, 76.80元, 1994-5 , 生活·读书·新知三联书店 ,金庸 / 有1996年11月北平第4次印本 
54,https://book.douban.com/subject/1077847/,https://img9.doubanio.com/view/subject/s/public/s1953384.jpg,史记（全十册）,9.5,史家之绝唱，无韵之离骚, 125.00, 1982-11 , 中华书局 ,司马迁 / （索隐）司马贞，（正义）张守节 
55,https://book.douban.com/subject/1205054/,https://img9.doubanio.com/view/subject/s/public/s4521754.jpg,悲惨世界（上中下）,9.0,现实主义与浪漫主义的至高杰作, 66.00元, 1992-6 , 人民文学出版社 ,[法] 雨果 / 李丹 
56,https://book.douban.com/subject/1449348/,https://img9.doubanio.com/view/subject/s/public/s33500305.jpg,彷徨,9.1,路漫漫其修远兮，吾将上下而求索, 0.37元, 1973-3 , 人民文学出版社 ,鲁迅 
57,https://book.douban.com/subject/1467022/,https://img9.doubanio.com/view/subject/s/public/s1486674.jpg,"上帝掷骰子吗

                
                   : 量子物理史话",9.2,量子物理史话, 32.00元, 2006-1 , 辽宁教育出版社 ,曹天元 
58,https://book.douban.com/subject/1029791/,https://img3.doubanio.com/view/subject/s/public/s1074291.jpg,许三观卖血记,8.8,以博大的温情描绘磨难中的人生, 16.80元, 1998-9 , 南海出版公司 ,余华 
59,https://book.douban.com/subject/1856494/,https://img3.doubanio.com/view/subject/s/public/s2059791.jpg,卡拉马佐夫兄弟,9.4,错综复杂的社会、家庭矛盾和人性悲剧, 25.00元, 2006-8 , 上海译文出版社 ,[俄] 费奥多尔·陀思妥耶夫斯基 / 荣如德 
60,https://book.douban.com/subject/1449352/,https://img2.doubanio.com/view/subject/s/public/s2875823.jpg,朝花夕拾,8.9,在纷扰中寻出一点闲静, 0.25元, 1972-4 , 人民文学出版社 ,鲁迅 
61,https://book.douban.com/subject/6789605/,https://img9.doubanio.com/view/subject/s/public/s8968135.jpg,树上的男爵,9.1,是不是真的只有先与人疏离，才能最终与他们在一起？, 30.00元, 2012-4-1 , 译林出版社 ,[意] 伊塔洛·卡尔维诺 / 吴正仪 
